label,strategy,total_pnl,final_balance,roi_pct,win_rate,mdd_pct,trades,avg_win,avg_loss,profit_factor,neg_months,score,param_TIER_MARGIN_PCT,param_LEVERAGE,param_TP_MARGIN_ROI,param_SL_GLOBAL_CAP_PCT,param_RSI_LONG_ENTRY,param_RSI_SHORT_ENTRY,param_TIER_2_DEV_PCT,param_TIER_3_DEV_PCT,param_MAX_ACTIVE_TRADES
Baseline,baseline,21.589524197367464,171.5895241973674,14.393016131578273,92.8082191780822,41.57620652079123,292,0.8642152799512655,-10.124419841401219,1.1015438510978157,4,-44.14290871667683,0.03,4,0.1,-0.1,25,75,0.015,0.03,4
Iter_1,raise_tp,50.19374739724107,200.19374739724094,33.462498264827296,91.35802469135803,41.30761727202309,243,1.1760239726310884,-10.042074977469559,1.2380163913185547,4,-16.67146521489196,0.03,4,0.13,-0.1,25,75,0.015,0.03,4
Iter_2,tighten_sl,2.4465238515899963,152.4465238515899,1.6310159010599248,89.1566265060241,40.72101972178962,249,1.0516196888078488,-8.556038780138973,1.0105904141895286,7,-85.21584857715095,0.03,4,0.13,-0.08,25,75,0.015,0.03,4
Iter_3,boost_margin,44.44104664441556,194.44104664441545,29.6273644296103,89.37728937728939,50.059968722068064,273,1.3462483878215274,-9.794605516690943,1.1564585609577378,5,-45.329742074530394,0.04,4,0.13,-0.1,25,75,0.015,0.03,4
Iter_4,add_leverage,67.31825172063245,217.31825172063247,44.878834480421645,92.16300940438872,38.877165682733335,319,1.1446854929295043,-10.768771328025668,1.2500498884043982,6,-4.17097911064614,0.03,5,0.13,-0.1,25,75,0.015,0.03,4
Iter_5,relax_rsi,69.92508581467213,219.92508581467186,46.61672387644791,92.21183800623052,44.041461498963955,321,1.2237253814487268,-11.69190508376604,1.239225636245582,6,-9.321174058856945,0.03,5,0.13,-0.1,28,72,0.015,0.03,4
Iter_6,widen_dca,54.473127728784036,204.47312772878425,36.31541848585616,92.45283018867924,45.85963872429639,318,1.0134940336028857,-10.14558825626935,1.2237143473630971,6,-27.173526506671088,0.03,5,0.13,-0.1,25,75,0.02,0.04,4
Iter_7,narrow_dca,53.3777820409791,203.3777820409789,35.58518802731926,91.52542372881356,40.05645537309566,295,1.15926583268869,-10.384959711398688,1.2055964915584252,7,-26.60008864545301,0.03,5,0.13,-0.1,25,75,0.012,0.024,4
Iter_8,max_trades_up,73.46455245685613,223.46455245685644,48.97636830457096,92.05128205128204,44.4045951968467,390,1.101240033202324,-10.383245789121885,1.2282354016202306,5,-1.7574222196475375,0.03,5,0.13,-0.1,25,75,0.015,0.03,5
Iter_9,aggressive_combo,23.338865619386645,173.33886561938633,15.55924374625755,88.46918489065607,63.95977254519314,503,1.478934492030197,-10.944603160931923,1.0367664527347502,7,-100.29475888974343,0.038,6,0.15,-0.1,25,75,0.015,0.03,5
Iter_10,conservative_combo,66.22690314552263,216.22690314552236,44.15126876368157,92.41573033707866,35.172684610819935,356,0.9358646844904956,-8.950836224142593,1.274035654683645,6,1.0396934502864923,0.025,4,0.12,-0.08,25,75,0.015,0.03,5
